stock,selloff_date,entry_date,exit_date,branch,z,spy_z,vr,ret,ret_net,bench_ret,excess_ret
CVS,2020-01-07,2020-01-10,2020-01-17,market_wide,-2.781731181592996,-1.6258873172937838,1.4628625871880132,0.054222483194697135,0.053222483194697134,0.017305767008556572,0.03591671618614056
CVS,2020-01-24,2020-01-29,2020-02-05,market_wide,-3.053127477026553,-1.3484514100365803,1.5404087270558813,-0.00014143532111421386,-0.0011414353211142139,0.012060976355410702,-0.013202411676524917
CVS,2020-06-23,2020-06-26,2020-07-06,market_wide,-2.561025278104235,-1.2050249467824843,0.5520862632818502,0.0233252654002436,0.0223252654002436,0.04644223208099496,-0.02411696668075136
CVS,2020-08-20,2020-08-25,2020-09-01,idiosyncratic,-4.277200957084154,-0.19591445156568976,0.9676876283684441,-0.05026027920707887,-0.051260279207078874,0.026598851408480284,-0.07785913061555916
CVS,2020-09-01,2020-09-04,2020-09-14,idiosyncratic,-5.097856470296633,0.39906566673358806,1.9836853684662898,-0.03768284294336499,-0.03868284294336499,-0.0007652923178039783,-0.037917550625561014
CVS,2020-09-10,2020-09-15,2020-09-22,market_wide,-3.6237034229943106,-3.446308599011274,1.1719680513627575,0.020000003248639153,0.019000003248639152,-0.0158545097139855,0.03485451296262465
CVS,2020-09-25,2020-09-30,2020-10-07,market_wide,-2.5595761729207145,-1.757463997552958,0.4620332888992161,0.01746557802840698,0.01646557802840698,0.021284958410993537,-0.004819380382586558
CVS,2020-12-16,2020-12-21,2020-12-29,idiosyncratic,-2.8207508145597284,0.0,0.9157570967545817,-0.011788832132719751,-0.012788832132719752,-0.0003646712883638159,-0.012424160844355936
CVS,2020-12-28,2020-12-31,2021-01-08,idiosyncratic,-2.829581388152922,0.6870487833564634,0.7023000903711045,0.09604698541884438,0.09504698541884438,0.020164499861889507,0.07488248555695487
CVS,2021-01-25,2021-01-28,2021-02-04,idiosyncratic,-3.922052367253345,0.05446077470625126,1.2012777927069138,0.005371166852385256,0.004371166852385256,0.009504342304996305,-0.005133175452611049
CVS,2021-02-19,2021-02-24,2021-03-03,market_wide,-3.3644045698397824,-1.2726063860538381,0.7834734935278381,-0.019460436342401022,-0.020460436342401023,-0.024494738737557142,0.00403430239515612
CVS,2021-04-08,2021-04-13,2021-04-20,idiosyncratic,-2.546052422928325,0.2833222011766561,0.7943013809536953,0.025533938883790963,0.024533938883790962,0.00021233681990584508,0.024321602063885117
CVS,2021-06-02,2021-06-07,2021-06-14,idiosyncratic,-2.5974425023799452,0.08594672412580268,0.3984902993579501,-0.019807504064949355,-0.020807504064949356,-0.0012383772519503067,-0.01956912681299905
CVS,2021-06-10,2021-06-15,2021-06-22,idiosyncratic,-2.725271084949195,0.6930575458088026,0.7362779848110486,-0.018618545787752128,-0.01961854578775213,-0.011260370620845506,-0.008358175166906623
CVS,2021-06-18,2021-06-23,2021-06-30,market_wide,-5.581718625429195,-7.107473890306415,1.8634905510560584,-0.003463852243886123,-0.004463852243886123,0.018805090928809998,-0.02326894317269612
CVS,2021-07-01,2021-07-07,2021-07-14,idiosyncratic,-3.7963831535089154,0.569258114310619,2.0289329641182072,0.013277412259083743,0.012277412259083742,0.005001174947615539,0.007276237311468203
CVS,2021-08-24,2021-08-27,2021-09-03,idiosyncratic,-3.1766263659058533,0.26098665264730214,0.6300785984465294,0.04491688228891699,0.04391688228891699,0.00295060568263783,0.04096627660627916
CVS,2021-09-14,2021-09-17,2021-09-24,market_wide,-3.030613729837126,-3.3808065960903617,0.7214761047277647,-0.009356121447062993,-0.010356121447062994,0.01145815185670318,-0.021814273303766174
CVS,2021-10-01,2021-10-06,2021-10-13,market_wide,-3.0481338765351444,-1.890675267023815,1.3203858185610011,0.00012011252236399095,-0.0008798874776360091,0.003094704347120336,-0.003974591824756345
CVS,2021-11-22,2021-11-26,2021-12-03,market_wide,-2.8457586831544415,-1.005434468630341,0.9021864690761882,-0.007102113053265802,-0.008102113053265803,-0.014296344650496451,0.006194231597230648
CVS,2022-01-20,2022-01-25,2022-02-01,market_wide,-2.735752100717201,-4.025541845967729,0.9296348086421724,0.03074687746461957,0.02974687746461957,0.03636654921495053,-0.006619671750330958
CVS,2022-02-09,2022-02-14,2022-02-22,idiosyncratic,-3.3240629364289354,0.02288956249064761,1.8345561865721223,-0.010485597100656774,-0.011485597100656775,-0.018075539121122475,0.0065899420204657
CVS,2022-02-17,2022-02-23,2022-03-02,market_wide,-2.9409509258490614,-3.95040172190502,0.6362609443992264,0.02142038248685707,0.02042038248685707,0.03930618377006856,-0.01888580128321149
CVS,2022-03-31,2022-04-05,2022-04-12,market_wide,-4.387961343128896,-1.3900471777427985,1.6533529433450462,0.0520812710099543,0.0510812710099543,-0.010933580293623901,0.0620148513035782
