stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
TXN,2018-03-19,2018-03-21,2018-03-22,0.014833794665448503,early_reversal,-0.043630068016449086,-0.04463006801644909,1,-0.026118600489149824,-0.018511467527299263
TXN,2018-09-12,2018-09-14,2018-09-17,0.011287504266128248,early_reversal,-0.015755454359904997,-0.016755454359904998,1,-0.004492833650427186,-0.012262620709477812
TXN,2019-11-11,2019-11-13,2019-11-14,0.00796059359998366,early_reversal,-0.007177741089368972,-0.008177741089368973,1,0.0021296302160815905,-0.010307371305450563
TXN,2021-04-20,2021-04-22,2021-04-29,0.019593008791063075,hold_days,0.00010744245155547283,-0.0008925575484445272,5,0.018170048200241373,-0.0190626057486859
TXN,2022-08-22,2022-08-24,2022-08-31,0.00629944781298174,hold_days,-0.04053654015218022,-0.041536540152180224,5,-0.04618748716355592,0.0046509470113756946
TXN,2022-09-13,2022-09-15,2022-09-22,0.016046378623474754,hold_days,-0.00030745696865963623,-0.0013074569686596363,5,-0.037782181004750615,0.03647472403609098
TXN,2023-10-05,2023-10-09,2023-10-16,0.012184895523200803,hold_days,-0.015441589680625922,-0.016441589680625923,5,0.00540394979357961,-0.021845539474205533
TXN,2023-10-13,2023-10-17,2023-10-18,0.010147415911148148,early_reversal,-0.01581728855043052,-0.01681728855043052,1,-0.011405621852628167,-0.005411666697802353
TXN,2023-10-25,2023-10-27,2023-10-30,0.01565675244720673,early_reversal,-0.009307406379924665,-0.010307406379924666,1,0.01221037786385537,-0.022517784243780037
TXN,2024-06-20,2024-06-24,2024-07-01,0.014370337377973543,hold_days,0.003558451389006345,0.002558451389006345,5,-0.015396529036307394,0.017954980425313738
