stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2021-09-20,2021-09-27,market_wide,-4.348457470204702,-5.35368219580822,-0.008324050579971654,-0.009324050579971654,0.023729427657136037,-0.03305347823710769
KO,2021-09-28,2021-10-05,market_wide,-3.9836654830675715,-2.8177439256948373,0.008358507395851644,0.007358507395851644,-0.004540587391781314,0.011899094787632958
KO,2021-11-16,2021-11-23,idiosyncratic,-2.6856831660658327,0.14785896135665902,-0.006047967287141187,-0.007047967287141187,-0.007424731345035407,0.0003767640578942197
KO,2021-11-24,2021-12-02,idiosyncratic,-2.187085316237393,-0.13775990641450422,-0.035151534174675536,-0.03615153417467554,-0.03573045472212477,-0.0004210794525507655
KO,2022-01-21,2022-01-28,market_wide,-2.824475246353763,-4.096485411984231,0.006451836445808379,0.005451836445808379,0.007376853079809509,-0.0019250166340011301
KO,2022-02-11,2022-02-18,market_wide,-3.98626697676046,-3.5713176463205647,0.03731952005892314,0.03631952005892314,-0.017310219546465277,0.053629739605388416
KO,2022-02-24,2022-03-03,market_wide,-2.725770119240769,-2.8420718931833022,0.03239136328797798,0.03139136328797798,0.028514593276011357,0.002876770011966623
KO,2022-03-07,2022-03-14,market_wide,-2.6354028306387383,-3.644636879073238,-0.03424831233467973,-0.03524831233467973,-0.006216143604833357,-0.029032168729846375
KO,2022-04-29,2022-05-06,market_wide,-2.690310035997179,-3.178509523302963,0.002012022598943064,0.001012022598943064,0.0022928639155443964,-0.0012808413166013324
KO,2022-05-10,2022-05-17,market_wide,-2.3954581652084412,-3.465110105530296,0.02765190534677009,0.02665190534677009,0.02568278054464579,0.0009691248021242993
KO,2022-05-18,2022-05-25,market_wide,-7.019795391649414,-3.314902863342677,0.04689550725855929,0.04589550725855929,0.013424075417908687,0.0324714318406506
KO,2022-06-07,2022-06-14,idiosyncratic,-2.1787560108444546,-0.19839902871722132,-0.05679164025427397,-0.05779164025427397,-0.08408529034544399,0.026293650091170018
KO,2022-06-15,2022-06-23,market_wide,-2.951359758413137,-2.3361315790612145,0.037037012918839984,0.036037012918839983,-0.008340112946257583,0.044377125865097566
KO,2022-07-11,2022-07-18,market_wide,-2.634103933555983,-1.2828118124417125,-0.02049557068786778,-0.021495570687867782,-0.0008720580870696937,-0.02062351260079809
KO,2022-07-20,2022-07-27,idiosyncratic,-3.780832093263813,0.5375769097153684,0.024553012322909407,0.023553012322909406,0.015077472495792055,0.008475539827117351
KO,2022-08-08,2022-08-15,idiosyncratic,-2.3182638876623094,-0.17672074995881287,0.024297138998821577,0.023297138998821576,0.036441606365581025,-0.01314446736675945
KO,2022-08-26,2022-09-02,market_wide,-4.343350154950407,-3.520072925476351,-0.031056876641856412,-0.03205687664185641,-0.026799067405189114,-0.005257809236667299
KO,2022-09-06,2022-09-13,market_wide,-2.7426364725738646,-3.060873315209316,-0.01160510751472188,-0.01260510751472188,0.008977465439274024,-0.021582572953995904
KO,2022-09-14,2022-09-21,market_wide,-2.608226425341767,-2.5609900629418396,-0.015741423139195243,-0.016741423139195244,-0.04422585105026644,0.027484427911071196
KO,2022-09-22,2022-09-29,market_wide,-2.709317921258323,-3.5997051854403974,-0.04539332321321987,-0.04639332321321987,-0.02701007982584791,-0.019383243387371962
KO,2022-09-30,2022-10-07,market_wide,-2.842172730733263,-3.248029488403687,-0.026954688933625737,-0.027954688933625738,0.02440462630409357,-0.052359315237719306
KO,2022-10-10,2022-10-17,market_wide,-3.6328867787406507,-2.621369430987949,0.023901405500549533,0.022901405500549532,0.02190579229173406,0.0009956132088154712
KO,2022-11-09,2022-11-16,market_wide,-3.5654142732428813,-2.742087290741229,0.029777103474873057,0.028777103474873056,0.046310923157139694,-0.017533819682266638
KO,2022-12-15,2022-12-22,market_wide,-3.515859155817887,-3.414275460158742,0.0036443089705029408,0.0026443089705029408,-0.014549955710967843,0.017194264681470783
KO,2023-01-03,2023-01-10,market_wide,-2.423098098579481,-2.1203357537552567,-0.013026160156121902,-0.014026160156121903,0.0390829639464747,-0.053109124102596605
KO,2023-01-11,2023-01-19,idiosyncratic,-3.0971069523030903,1.1480433405362733,-0.036929572188707294,-0.037929572188707295,-0.03267716746262661,-0.005252404726080684
KO,2023-01-23,2023-01-30,idiosyncratic,-2.5809600655355838,0.503720929636984,0.0068072117226920525,0.0058072117226920525,0.002896087132471248,0.0029111245902208047
KO,2023-02-02,2023-02-09,idiosyncratic,-2.0328352981724787,0.9718121151696149,-0.010948662378505891,-0.011948662378505892,-0.02182788724333995,0.009879224864834057
KO,2023-02-10,2023-02-17,market_wide,-2.8151064070098233,-1.8290193672594062,0.008386434737294834,0.0073864347372948344,-0.006139961704023422,0.013526396441318256
KO,2023-02-21,2023-02-28,market_wide,-2.0015495518529205,-5.4819192516399795,-0.004849664458475789,-0.005849664458475789,-0.006290539354203317,0.00044087489572752856
